GeneName	xref_id	HN1.5	Proteo
AHI1	54806	-9	NA
AHNAK	79026	150	NA
AHNAK2	113146	232	NA
AHR	196	19	NA
AHRR	57491	-53	NA
AHSA1	10598	-106	NA
AHSG	197	23	NA
AHSP	51327	9	NA
AICDA	57379	34	NA
AIDA	64853	13	NA
AIF1	199	-1	NA
AIF1L	83543	-55	NA
AIFM1	9131	-139	NA
AIFM2	84883	-53	NA
AIFM3	150209	7	NA
AIG1	51390	22	NA
AIM2	9447	20	NA
AIMP1	9255	-45	NA
AIMP2	7965	-183	NA
AIP	9049	17	NA
AIPL1	23746	21	NA
AIRE	326	17	NA
AJAP1	55966	-31	NA
AJM1	389813	146	NA
AJUBA	84962	41	NA
AK1	203	-91	NA
AK2	204	51	NA
AK3	50808	-47	NA
AK4	205	350	NA
AK5	26289	-18	NA
AK6	102157402	-65	NA
AK7	122481	39	NA
AK8	158067	-2	NA
AK9	221264	94	NA
AKAIN1	642597	12	NA
AKAP1	8165	-105	NA
AKAP10	11216	70	NA
AKAP11	11215	13	NA
AKAP12	9590	143	NA
AKAP13	11214	42	NA
AKAP14	158798	7	NA
AKAP17A	8227	66	U2904 1% and  U2932 1%
AKAP2		-5	NA
AKAP3	10566	3	NA
AKAP4	8852	1	NA
AKAP5	9495	-49	NA
AKAP6	9472	5	NA
AKAP7	9465	-90	NA
AKAP8	10270	-42	NA
AKAP8L	26993	33	NA
AKAP9	10142	26	NA
AKIP1	56672	-103	NA
AKIRIN1	79647	-53	NA
AKIRIN2	55122	-5	NA
AKNA	80709	37	NA
AKNAD1	254268	92	NA
AKR1A1	10327	-45	NA
AKR1B1	231	-16	NA
AKR1B10	57016	-147	NA
AKR1B15	441282	-34	NA
AKR1C1	1645	0	NA
AKR1C2	1646	-15	NA
AKR1C3	8644	5	NA
AKR1C4	1109	-56	NA
AKR1C8P		-19	NA
AKR1D1	6718	-7	NA
AKR1E2	83592	8	NA
AKR7A2	8574	19	NA
AKR7A3	22977	-3	NA
AKR7L	246181	-52	NA
AKT1	207	-43	NA
AKT1S1	84335	-40	NA
AKT2	208	-44	NA
AKT3	10000	42	NA
AKTIP	64400	-8	NA
ALAD	210	-18	NA
ALAS1	211	-23	NA
ALAS2	212	7	NA
ALB	213	11	NA
ALCAM	214	-4	NA
ALDH16A1	126133	-112	NA
ALDH18A1	5832	16	NA
ALDH1A1	216	-81	NA
ALDH1A2	8854	-18	NA
ALDH1A3	220	-28	NA
ALDH1B1	219	-181	NA
ALDH1L1	10840	-28	NA
ALDH1L2	160428	31	NA
ALDH2	217	-1	NA
ALDH3A1	218	-36	NA
ALDH3A2	224	-124	NA
ALDH3B1	221	48	NA
ALDH3B2	222	-41	NA
ALDH4A1	8659	-171	NA
ALDH5A1	7915	-98	NA
ALDH6A1	4329	29	NA
ALDH7A1	501	-42	NA
ALDH8A1	64577	98	NA
ALDH9A1	223	-53	NA
ALDOA	226	319	NA
ALDOB	229	13	NA
ALDOC	230	365	NA
ALG1	56052	-151	NA
ALG10	84920	-71	NA
ALG10B	144245	-22	NA
ALG11	440138	-25	NA
ALG12	79087	-56	NA
ALG13	79868	-51	NA
ALG14	199857	-83	NA
ALG1L		-76	NA
ALG1L2	644974	-63	NA
ALG2	85365	-52	NA
ALG3	10195	-90	NA
ALG5	29880	-72	NA
ALG6	29929	-142	NA
ALG8	79053	-103	NA
ALG9	79796	27	NA
ALK	238	45	NA
ALKAL1	389658	32	NA
ALKAL2	285016	30	NA
ALKBH1	8846	-43	NA
