gene	transcript_id	xref_id	AP-1	AP-2	AP-3	AP-4	AP-7	AP-8	AP-9	AP-10	AP-11	AP-12	AP-13	AP-14	AP-15	AP-16	AP-17	AP-18	AP-20	AP-21	AP-22	AP-23	CC-1	CC-2	SDL-1	SDL-2	SDL-3	SDL-4	SDL-5	DV-FL-1	DV-FL-2	DV-FL-3	DV-FL-4	DV-FL-5	DV-FL-6	DV-EB-1	DV-EB-2	DV-EB-3	DV-EB-4	DV-EB-5	DV-EB-6	DV-EB-7	DV-EB-8	DV-EB-9	DV-EB-10	DV-LF-0	DV-LF-1	DV-LF-2	DV-LF-3	DV-LF-4	DV-LF-5	DV-LF-6	DV-LF-7	DV-LF-8	DV-LF-9	DV-LF-10	DV-LF-11	DV-LF-12
AT5G40020			3.71662	2.36768	0.701424	2.91163	0	0	0	115.708	162.883	10.1223	1.00967	4.20189	16.5918	0.56044	21.5357	74.0539	25.253	3.99788	0	4.16	0.124529	0.368398	0.440433	30.5482	48.7635	18.5903	1.00572	1.34395	0.940665	2.51726	3.94118	6.89651	3.48031	8.11305	9.64404	12.7269	39.5548	73.4555	0	0.0732275	0	0.0505713	0.0419586	0.737587	0.331585	1.16958	3.01342	4.45551	2.73478	2.18046	0.161259	0.269419	2.22527	3.52152	4.2393	3.64167
AT5G40030			0.0454654	0.0445214	0	7.03952	0	0	0	0.262132	0.25988	0.0202826	0.0888838	0.0710454	0.468356	0	6.98132	0.299707	0.147032	0.170135	2.94167	4.49064	28.581	7.59338	0.331302	1.92646	2.47391	8.28802	0.918509	5.8376	6.58765	4.6371	2.84301	3.29274	2.90725	4.34941	3.42138	1.74781	0.978354	1.77228	1.82232	2.30818	3.15252	0.844387	1.57555	0	0.0283514	0.0290873	0.053	0.0859639	0.0861123	0.140595	0.0476378	0.105812	0.175876	0.548403	0.376422	0.328325
AT5G40040			0.477677	0.2409	0.66309	5.56177	0	0	0	0.106741	0.192006	0	0	0	0	0	0.535038	0.370142	0.104172	0.0890434	3.44805	0.182712	1.51055	0.215508	0	0.102869	0.102438	0.309341	0.352153	9.43347	67.5592	143.927	47.3203	6.21553	4.71116	5.63847	4.79575	8.05335	9.55331	18.7027	8.59795	2.30129	0.539115	0.232037	0	0.105853	0.111412	0.230168	0	0	0.22859	0	0.094593	0.105065	0	0	0	0
AT5G40050			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0866515	0	0	0	0	0	0	0.270614	0.595665	0.173319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G40060			1.489297	3.838146	1.028634	4.05578	0	0.035113	0.126068	9.7095200124554	10.6833	10.403345	6.368685	9.238213	7.086454	6.23255	0.851527	9.876375	3.134735679	6.3303688359	0	0.0855629	0.0636684	2.52793	3.67915	4.26228	0.86947	0.587497	3.597715	3.47435	4.582925	4.404974	3.90698	2.875325	3.45079	3.777701	4.72094	4.065561	3.006715	1.52403	0	0.0210521	0.0440601	0.0147402	0.00671226	10.903605	19.6735	12.313574	10.8156	12.1998	7.54194	7.93109	8.5259	9.572532	9.721328	7.14599	7.09247	7.47555
AT5G40070			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156192	0	0	0	0	0	0	0	0	0	0	0.142793	0.599801	0	0	0.285479	0	0.1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152581	0	0	0	0	0	0	0.140039	0.428065
AT5G40080			2.23342	2.83408	0.844785	39.5706	1.82159	2.37451	0.260276	22.1302	18.479	12.1974	9.58057	9.8775	14.8683	7.42471	30.662	18.5421	8.64133	15.1008	25.5437	34.5262	73.8678	62.5653	12.1353	32.1305	18.1232	40.7949	19.9612	25.8712	25.174	32.5638	21.5941	17.7622	21.3629	37.5234	32.4859	29.9012	18.2813	16.6499	11.3531	9.56296	11.1221	6.35275	4.79695	4.9785	12.4801	12.992	12.1967	15.3932	11.6515	11.9299	13.2913	13.0533	12.1291	17.2483	18.5088	20.1871
AT5G40090			0.193786	0.236687	0.0872219	2.04438	0.196284	0.298733	0.057048	0.770662	0.865056	0.534542	0.0939589	0.200882	0.770933	1.04454	6.23093	0.344404	0.318162	0.184034	2.44668	14.3437	3.32508	6.31541	0.10204	3.15429	6.2583	8.27515	0.795527	1.44049	1.39801	1.92079	1.40296	0.866303	0.893262	1.0189	0.668262	0.151774	0.0798506	0.0274796	0.124361	0.23573	0.0491383	0.0634803	0.259552	0.344295	0.478879	0.275772	0.22372	0.330043	0.0922925	0.171415	0.0756095	0.277473	0.122815	0.522376	0.310802	0.346678
AT5G40100			0.234006	0	0.0293421	1.13638	0.824986	1.53917	0	0.0137303	0	0.00946694	0	0.04471	0.147705	0	5.10037	0.0825378	0	0.0229783	3.90014	27.1231	11.6595	35.9228	0.0222538	1.90705	4.30854	5.09743	0.450359	0.518571	0.596838	0.498745	0.376146	0.610171	0.271158	0.371173	0.38699	0.0554933	0.0230898	0	0	0.0413851	0.0862007	0	0.0830844	0	0.0131079	0	0	0	0.0132488	0.0371236	0.010976	0.0367571	0.02708	0.0255549	0.0993277	0.101618
AT5G40120			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8216	1.6932	0.05229	0	0	0	0	0	0	0	0	0	0	0.0878416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
