Symbol	xref_id	Basal_011116	Basal_011316	Basal_081715	Basal_112415	Suprabasal_011116	Suprabasal_011316	Suprabasal_081715	Suprabasal_112415
LOC105372395	105372395	0	0	0	0	0	0	0	0
WDR87	83889	0.05481	0.01459	0	0	0	0	0	0
LOC107985301	107985301	0	0	0	0	0	0	0	0
SIPA1L3	23094	2.064	1.204	1.624	2.615	1.227	1.77	1.56	1.549
LOC105372396	105372396	0	0	0	0.06929	0.2627	0	0	0
SNORD152	109623473	0	0	0	0	0	0	3.104	0
DPF1	8193	0	0	0.1062	0.01403	0	0	0	0
PPP1R14A	94274	0	0	0.1265	0	0	0	0	0
SPINT2	10653	6.149	1.141	17.52	22.5	8.376	8.179	28	22.52
YIF1B	90522	1.117	0.133	1.909	1.518	0.4152	0.2993	2.317	0.5243
C19orf33	64073	4.901	0	10.31	5.617	0.9829	1.575	12.26	2.182
KCNK6	9424	0.634	0.1388	1.44	0.8217	0.6298	0.6231	2.125	0.6157
CATSPERG	57828	0.4	0.1007	0.6909	0.1115	0	0.009236	0.03027	0.05119
PSMD8	5714	3.357	3.007	12.96	15.8	12.57	7.841	16.46	14.92
GGN	199720	0.1773	0.1298	0.08663	0.06537	0	0	0	0
SPRED3	399473	0	0.05704	0.4585	0.7862	0.0621	0	0.7075	0.0768
FAM98C	147965	0.3335	0.1832	0.7468	0.9016	0.2849	0.6572	0.6394	0.4173
RASGRP4	115727	0	0.02098	0.02199	0.02323	0.02936	0	0.01734	0.0391
RYR1	6261	0.8658	0.226	1.012	0.9257	0	0.01771	0.09432	0.08383
LOC107985290	107985290	0	0	0	0	0	0	0	0
MAP4K1	11184	0	0.1857	0.876	0.2057	0.4224	0	0.1151	0.0649
MAP4K1-AS1	105372397	0	0	1.238	0	1.01	0	0.4339	0.3669
EIF3K	27335	16.61	3.282	56.98	64.7	21.99	20.36	55.94	37.08
ACTN4	81	12.35	6.294	28.53	23.31	16.93	14.55	26.86	10.78
LOC107985291	107985291	0	0.09307	0.09757	0.4123	0	0	0	0
CAPN12	147968	0.6056	0.4821	1.799	1.377	1.242	0.4475	1.004	0.2966
LGALS7	3963	0.2802	0.2052	5.664	8.332	0.5744	0.6901	8.99	5.036
LGALS7B	653499	0.3698	0.2708	5.962	7.198	0.9477	0.9564	8.508	3.723
LGALS4	3960	0.1544	0	0.1185	0.1043	0	0	0.3739	0
ECH1	1891	13.27	13.72	36.8	36.33	16.82	28.92	38.54	16.58
HNRNPL	3191	7.301	3.492	11.41	16.05	5.336	6.596	6.323	9.795
RINL	126432	0.01417	0.08303	0.1632	0.2644	0.1162	0.2304	0.1116	0.1161
SIRT2	22933	0.7293	0.9613	2.027	3.135	0.9269	1.067	2.19	1.404
NFKBIB	4793	0.07277	0.1066	0.405	0.4131	0.01865	0.08066	0.5507	0.1366
CCER2	643669	0.115	0.1204	0.4164	0.4132	0.01685	0.8016	1.184	0.04487
SARS2	54938	0.2306	0.2532	1.717	1.515	0.3309	0.8689	2.876	0.6295
MRPS12	6183	0.1045	0.1786	2.461	1.978	3.857	1.184	3.966	1.332
FBXO17	115290	0.6616	0.3705	1.628	1.468	0.6781	0.04313	0.4712	0.3719
FBXO27	126433	0.5422	0.2527	3.406	2.159	1.516	2.015	5.123	1.48
ACP7	390928	0	0	0.04614	0.01625	0	0	0	0
PAK4	10298	0.0531	0.0486	0.4586	0.2961	0.02721	0.3139	0.2371	0.1087
